,City,sql
42,Marion,"INSERT INTO City (Id, Name, State) VALUES (42, 'Marion', 'OH')"
43,Hilliard,"INSERT INTO City (Id, Name, State) VALUES (43, 'Hilliard', 'OH')"
44,Austintown,"INSERT INTO City (Id, Name, State) VALUES (44, 'Austintown', 'OH')"
45,Gahanna,"INSERT INTO City (Id, Name, State) VALUES (45, 'Gahanna', 'OH')"
46,Upper Arlington,"INSERT INTO City (Id, Name, State) VALUES (46, 'Upper Arlington', 'OH')"
47,Brunswick,"INSERT INTO City (Id, Name, State) VALUES (47, 'Brunswick', 'OH')"
48,Stow,"INSERT INTO City (Id, Name, State) VALUES (48, 'Stow', 'OH')"
49,Fairborn,"INSERT INTO City (Id, Name, State) VALUES (49, 'Fairborn', 'OH')"
50,North Ridgeville,"INSERT INTO City (Id, Name, State) VALUES (50, 'North Ridgeville', 'OH')"
51,Mason,"INSERT INTO City (Id, Name, State) VALUES (51, 'Mason', 'OH')"
52,Westlake,"INSERT INTO City (Id, Name, State) VALUES (52, 'Westlake', 'OH')"
53,Bowling Green,"INSERT INTO City (Id, Name, State) VALUES (53, 'Bowling Green', 'OH')"
54,North Olmsted,"INSERT INTO City (Id, Name, State) VALUES (54, 'North Olmsted', 'OH')"
55,Kent,"INSERT INTO City (Id, Name, State) VALUES (55, 'Kent', 'OH')"
56,Delhi Township,"INSERT INTO City (Id, Name, State) VALUES (56, 'Delhi Township', 'OH')"
57,Sylvania Township,"INSERT INTO City (Id, Name, State) VALUES (57, 'Sylvania Township', 'OH')"
58,"Miami Township, Montgomery County","INSERT INTO City (Id, Name, State) VALUES (58, 'Miami Township, Montgomery County', 'OH')"
59,Wooster,"INSERT INTO City (Id, Name, State) VALUES (59, 'Wooster', 'OH')"
60,Xenia,"INSERT INTO City (Id, Name, State) VALUES (60, 'Xenia', 'OH')"
61,Medina,"INSERT INTO City (Id, Name, State) VALUES (61, 'Medina', 'OH')"
62,Barberton,"INSERT INTO City (Id, Name, State) VALUES (62, 'Barberton', 'OH')"
63,Troy,"INSERT INTO City (Id, Name, State) VALUES (63, 'Troy', 'OH')"
64,Athens,"INSERT INTO City (Id, Name, State) VALUES (64, 'Athens', 'OH')"
65,Zanesville,"INSERT INTO City (Id, Name, State) VALUES (65, 'Zanesville', 'OH')"
66,Sandusky,"INSERT INTO City (Id, Name, State) VALUES (66, 'Sandusky', 'OH')"
67,Trotwood,"INSERT INTO City (Id, Name, State) VALUES (67, 'Trotwood', 'OH')"
68,Avon Lake,"INSERT INTO City (Id, Name, State) VALUES (68, 'Avon Lake', 'OH')"
69,Centerville,"INSERT INTO City (Id, Name, State) VALUES (69, 'Centerville', 'OH')"
70,Wadsworth,"INSERT INTO City (Id, Name, State) VALUES (70, 'Wadsworth', 'OH')"
71,Solon,"INSERT INTO City (Id, Name, State) VALUES (71, 'Solon', 'OH')"
72,Willoughby,"INSERT INTO City (Id, Name, State) VALUES (72, 'Willoughby', 'OH')"
73,Fairfield Township,"INSERT INTO City (Id, Name, State) VALUES (73, 'Fairfield Township', 'OH')"
74,Oxford,"INSERT INTO City (Id, Name, State) VALUES (74, 'Oxford', 'OH')"
75,Hudson,"INSERT INTO City (Id, Name, State) VALUES (75, 'Hudson', 'OH')"
76,Alliance,"INSERT INTO City (Id, Name, State) VALUES (76, 'Alliance', 'OH')"
77,Perrysburg,"INSERT INTO City (Id, Name, State) VALUES (77, 'Perrysburg', 'OH')"
78,Chillicothe,"INSERT INTO City (Id, Name, State) VALUES (78, 'Chillicothe', 'OH')"
79,South Euclid,"INSERT INTO City (Id, Name, State) VALUES (79, 'South Euclid', 'OH')"
80,Piqua,"INSERT INTO City (Id, Name, State) VALUES (80, 'Piqua', 'OH')"
81,Ashland,"INSERT INTO City (Id, Name, State) VALUES (81, 'Ashland', 'OH')"
82,Sidney,"INSERT INTO City (Id, Name, State) VALUES (82, 'Sidney', 'OH')"
83,Portsmouth,"INSERT INTO City (Id, Name, State) VALUES (83, 'Portsmouth', 'OH')"
84,Pickerington,"INSERT INTO City (Id, Name, State) VALUES (84, 'Pickerington', 'OH')"
85,Norwood,"INSERT INTO City (Id, Name, State) VALUES (85, 'Norwood', 'OH')"
86,Oregon,"INSERT INTO City (Id, Name, State) VALUES (86, 'Oregon', 'OH')"
87,Miamisburg,"INSERT INTO City (Id, Name, State) VALUES (87, 'Miamisburg', 'OH')"
88,Broadview Heights,"INSERT INTO City (Id, Name, State) VALUES (88, 'Broadview Heights', 'OH')"
89,Sylvania,"INSERT INTO City (Id, Name, State) VALUES (89, 'Sylvania', 'OH')"
90,Twinsburg,"INSERT INTO City (Id, Name, State) VALUES (90, 'Twinsburg', 'OH')"
91,Berea,"INSERT INTO City (Id, Name, State) VALUES (91, 'Berea', 'OH')"
92,Whitehall,"INSERT INTO City (Id, Name, State) VALUES (92, 'Whitehall', 'OH')"
93,Mayfield Heights,"INSERT INTO City (Id, Name, State) VALUES (93, 'Mayfield Heights', 'OH')"
94,Forest Park,"INSERT INTO City (Id, Name, State) VALUES (94, 'Forest Park', 'OH')"
95,"Madison Township, Franklin County","INSERT INTO City (Id, Name, State) VALUES (95, 'Madison Township, Franklin County', 'OH')"
96,Springboro,"INSERT INTO City (Id, Name, State) VALUES (96, 'Springboro', 'OH')"
97,Eastlake,"INSERT INTO City (Id, Name, State) VALUES (97, 'Eastlake', 'OH')"
98,Steubenville,"INSERT INTO City (Id, Name, State) VALUES (98, 'Steubenville', 'OH')"
99,Tallmadge3,"INSERT INTO City (Id, Name, State) VALUES (99, 'Tallmadge3', 'OH')"
100,New Philadelphia,"INSERT INTO City (Id, Name, State) VALUES (100, 'New Philadelphia', 'OH')"
101,Tiffin,"INSERT INTO City (Id, Name, State) VALUES (101, 'Tiffin', 'OH')"
102,North Canton,"INSERT INTO City (Id, Name, State) VALUES (102, 'North Canton', 'OH')"
103,Copley Township,"INSERT INTO City (Id, Name, State) VALUES (103, 'Copley Township', 'OH')"
104,East Cleveland,"INSERT INTO City (Id, Name, State) VALUES (104, 'East Cleveland', 'OH')"
105,Howland Township,"INSERT INTO City (Id, Name, State) VALUES (105, 'Howland Township', 'OH')"
106,Defiance,"INSERT INTO City (Id, Name, State) VALUES (106, 'Defiance', 'OH')"
107,Mount Vernon,"INSERT INTO City (Id, Name, State) VALUES (107, 'Mount Vernon', 'OH')"
108,Streetsboro,"INSERT INTO City (Id, Name, State) VALUES (108, 'Streetsboro', 'OH')"
109,Fairview Park,"INSERT INTO City (Id, Name, State) VALUES (109, 'Fairview Park', 'OH')"
110,Fremont,"INSERT INTO City (Id, Name, State) VALUES (110, 'Fremont', 'OH')"
111,Monroe,"INSERT INTO City (Id, Name, State) VALUES (111, 'Monroe', 'OH')"
112,Aurora,"INSERT INTO City (Id, Name, State) VALUES (112, 'Aurora', 'OH')"
113,"Goshen Township, Clermont County","INSERT INTO City (Id, Name, State) VALUES (113, 'Goshen Township, Clermont County', 'OH')"
114,Clearcreek Township,"INSERT INTO City (Id, Name, State) VALUES (114, 'Clearcreek Township', 'OH')"
115,"Madison Township, Lake County","INSERT INTO City (Id, Name, State) VALUES (115, 'Madison Township, Lake County', 'OH')"
116,Vandalia,"INSERT INTO City (Id, Name, State) VALUES (116, 'Vandalia', 'OH')"
117,Worthington,"INSERT INTO City (Id, Name, State) VALUES (117, 'Worthington', 'OH')"
118,"Springfield Township, Summit County","INSERT INTO City (Id, Name, State) VALUES (118, 'Springfield Township, Summit County', 'OH')"
119,New Franklin,"INSERT INTO City (Id, Name, State) VALUES (119, 'New Franklin', 'OH')"
120,Washington Court House,"INSERT INTO City (Id, Name, State) VALUES (120, 'Washington Court House', 'OH')"
121,Circleville,"INSERT INTO City (Id, Name, State) VALUES (121, 'Circleville', 'OH')"
122,Maumee,"INSERT INTO City (Id, Name, State) VALUES (122, 'Maumee', 'OH')"
123,Bexley,"INSERT INTO City (Id, Name, State) VALUES (123, 'Bexley', 'OH')"
124,Lyndhurst,"INSERT INTO City (Id, Name, State) VALUES (124, 'Lyndhurst', 'OH')"
125,Marietta,"INSERT INTO City (Id, Name, State) VALUES (125, 'Marietta', 'OH')"
126,Englewood,"INSERT INTO City (Id, Name, State) VALUES (126, 'Englewood', 'OH')"
127,Brecksville,"INSERT INTO City (Id, Name, State) VALUES (127, 'Brecksville', 'OH')"
128,Olmsted Township,"INSERT INTO City (Id, Name, State) VALUES (128, 'Olmsted Township', 'OH')"
129,Clayton,"INSERT INTO City (Id, Name, State) VALUES (129, 'Clayton', 'OH')"
130,Bellefontaine,"INSERT INTO City (Id, Name, State) VALUES (130, 'Bellefontaine', 'OH')"
131,University Heights,"INSERT INTO City (Id, Name, State) VALUES (131, 'University Heights', 'OH')"
132,Powell,"INSERT INTO City (Id, Name, State) VALUES (132, 'Powell', 'OH')"
133,West Carrollton,"INSERT INTO City (Id, Name, State) VALUES (133, 'West Carrollton', 'OH')"
134,Loveland,"INSERT INTO City (Id, Name, State) VALUES (134, 'Loveland', 'OH')"
135,Dover,"INSERT INTO City (Id, Name, State) VALUES (135, 'Dover', 'OH')"
136,Perrysburg Township,"INSERT INTO City (Id, Name, State) VALUES (136, 'Perrysburg Township', 'OH')"
137,Greenville,"INSERT INTO City (Id, Name, State) VALUES (137, 'Greenville', 'OH')"
138,Wickliffe,"INSERT INTO City (Id, Name, State) VALUES (138, 'Wickliffe', 'OH')"
139,Bedford,"INSERT INTO City (Id, Name, State) VALUES (139, 'Bedford', 'OH')"
140,Wilmington,"INSERT INTO City (Id, Name, State) VALUES (140, 'Wilmington', 'OH')"
141,Blue Ash,"INSERT INTO City (Id, Name, State) VALUES (141, 'Blue Ash', 'OH')"
142,American Township,"INSERT INTO City (Id, Name, State) VALUES (142, 'American Township', 'OH')"
143,Shawnee Township,"INSERT INTO City (Id, Name, State) VALUES (143, 'Shawnee Township', 'OH')"
144,Amherst,"INSERT INTO City (Id, Name, State) VALUES (144, 'Amherst', 'OH')"
145,Macedonia,"INSERT INTO City (Id, Name, State) VALUES (145, 'Macedonia', 'OH')"
146,Norton,"INSERT INTO City (Id, Name, State) VALUES (146, 'Norton', 'OH')"
147,Poland Township,"INSERT INTO City (Id, Name, State) VALUES (147, 'Poland Township', 'OH')"
148,Salem,"INSERT INTO City (Id, Name, State) VALUES (148, 'Salem', 'OH')"
149,Bucyrus,"INSERT INTO City (Id, Name, State) VALUES (149, 'Bucyrus', 'OH')"
150,Montville Township,"INSERT INTO City (Id, Name, State) VALUES (150, 'Montville Township', 'OH')"
151,Seven Hills,"INSERT INTO City (Id, Name, State) VALUES (151, 'Seven Hills', 'OH')"
152,Pierce Township,"INSERT INTO City (Id, Name, State) VALUES (152, 'Pierce Township', 'OH')"
153,Liberty Township,"INSERT INTO City (Id, Name, State) VALUES (153, 'Liberty Township', 'OH')"
154,Bainbridge Township,"INSERT INTO City (Id, Name, State) VALUES (154, 'Bainbridge Township', 'OH')"
155,Urbana,"INSERT INTO City (Id, Name, State) VALUES (155, 'Urbana', 'OH')"
156,Harrison,"INSERT INTO City (Id, Name, State) VALUES (156, 'Harrison', 'OH')"
157,Sagamore Hills,"INSERT INTO City (Id, Name, State) VALUES (157, 'Sagamore Hills', 'OH')"
158,Ironton,"INSERT INTO City (Id, Name, State) VALUES (158, 'Ironton', 'OH')"
159,New Albany,"INSERT INTO City (Id, Name, State) VALUES (159, 'New Albany', 'OH')"
160,Brooklyn,"INSERT INTO City (Id, Name, State) VALUES (160, 'Brooklyn', 'OH')"
161,Van Wert,"INSERT INTO City (Id, Name, State) VALUES (161, 'Van Wert', 'OH')"
162,Heath,"INSERT INTO City (Id, Name, State) VALUES (162, 'Heath', 'OH')"
163,Montgomery,"INSERT INTO City (Id, Name, State) VALUES (163, 'Montgomery', 'OH')"
164,Bedford Heights,"INSERT INTO City (Id, Name, State) VALUES (164, 'Bedford Heights', 'OH')"
165,Richmond Heights,"INSERT INTO City (Id, Name, State) VALUES (165, 'Richmond Heights', 'OH')"
166,Cambridge,"INSERT INTO City (Id, Name, State) VALUES (166, 'Cambridge', 'OH')"
167,Vermilion,"INSERT INTO City (Id, Name, State) VALUES (167, 'Vermilion', 'OH')"
168,Chester Township,"INSERT INTO City (Id, Name, State) VALUES (168, 'Chester Township', 'OH')"
169,Brimfield Township,"INSERT INTO City (Id, Name, State) VALUES (169, 'Brimfield Township', 'OH')"
170,Brunswick Hills Township,"INSERT INTO City (Id, Name, State) VALUES (170, 'Brunswick Hills Township', 'OH')"
171,Reading,"INSERT INTO City (Id, Name, State) VALUES (171, 'Reading', 'OH')"
172,Struthers,"INSERT INTO City (Id, Name, State) VALUES (172, 'Struthers', 'OH')"
173,London,"INSERT INTO City (Id, Name, State) VALUES (173, 'London', 'OH')"
174,Galion,"INSERT INTO City (Id, Name, State) VALUES (174, 'Galion', 'OH')"
175,Tipp City,"INSERT INTO City (Id, Name, State) VALUES (175, 'Tipp City', 'OH')"
176,Wapakoneta,"INSERT INTO City (Id, Name, State) VALUES (176, 'Wapakoneta', 'OH')"
177,"Bath Township, Summit County","INSERT INTO City (Id, Name, State) VALUES (177, 'Bath Township, Summit County', 'OH')"
178,Louisville,"INSERT INTO City (Id, Name, State) VALUES (178, 'Louisville', 'OH')"
179,North College Hill,"INSERT INTO City (Id, Name, State) VALUES (179, 'North College Hill', 'OH')"
180,Shelby,"INSERT INTO City (Id, Name, State) VALUES (180, 'Shelby', 'OH')"
181,Sheffield Lake,"INSERT INTO City (Id, Name, State) VALUES (181, 'Sheffield Lake', 'OH')"
182,Medina Township,"INSERT INTO City (Id, Name, State) VALUES (182, 'Medina Township', 'OH')"
183,Olmsted Falls,"INSERT INTO City (Id, Name, State) VALUES (183, 'Olmsted Falls', 'OH')"
184,Ross Township,"INSERT INTO City (Id, Name, State) VALUES (184, 'Ross Township', 'OH')"
185,Wyoming,"INSERT INTO City (Id, Name, State) VALUES (185, 'Wyoming', 'OH')"
186,Orrville,"INSERT INTO City (Id, Name, State) VALUES (186, 'Orrville', 'OH')"
187,Highland Heights,"INSERT INTO City (Id, Name, State) VALUES (187, 'Highland Heights', 'OH')"
188,Napoleon,"INSERT INTO City (Id, Name, State) VALUES (188, 'Napoleon', 'OH')"
189,Oberlin,"INSERT INTO City (Id, Name, State) VALUES (189, 'Oberlin', 'OH')"
190,Sugarcreek Township,"INSERT INTO City (Id, Name, State) VALUES (190, 'Sugarcreek Township', 'OH')"
191,Lawrence Township,"INSERT INTO City (Id, Name, State) VALUES (191, 'Lawrence Township', 'OH')"
192,Cheviot,"INSERT INTO City (Id, Name, State) VALUES (192, 'Cheviot', 'OH')"
193,St. Marys,"INSERT INTO City (Id, Name, State) VALUES (193, 'St. Marys', 'OH')"
194,Kenton,"INSERT INTO City (Id, Name, State) VALUES (194, 'Kenton', 'OH')"
195,Hinckley Township,"INSERT INTO City (Id, Name, State) VALUES (195, 'Hinckley Township', 'OH')"
196,Campbell,"INSERT INTO City (Id, Name, State) VALUES (196, 'Campbell', 'OH')"
197,Butler Township,"INSERT INTO City (Id, Name, State) VALUES (197, 'Butler Township', 'OH')"
198,St. Clair Township,"INSERT INTO City (Id, Name, State) VALUES (198, 'St. Clair Township', 'OH')"
199,Hubbard,"INSERT INTO City (Id, Name, State) VALUES (199, 'Hubbard', 'OH')"
200,Wauseon,"INSERT INTO City (Id, Name, State) VALUES (200, 'Wauseon', 'OH')"
201,Mentor-on-the-Lake,"INSERT INTO City (Id, Name, State) VALUES (201, 'Mentor-on-the-Lake', 'OH')"
202,Canfield,"INSERT INTO City (Id, Name, State) VALUES (202, 'Canfield', 'OH')"
203,Bellbrook,"INSERT INTO City (Id, Name, State) VALUES (203, 'Bellbrook', 'OH')"
204,Independence,"INSERT INTO City (Id, Name, State) VALUES (204, 'Independence', 'OH')"
205,Logan,"INSERT INTO City (Id, Name, State) VALUES (205, 'Logan', 'OH')"
206,Delphos,"INSERT INTO City (Id, Name, State) VALUES (206, 'Delphos', 'OH')"
207,Huron,"INSERT INTO City (Id, Name, State) VALUES (207, 'Huron', 'OH')"
208,Milford,"INSERT INTO City (Id, Name, State) VALUES (208, 'Milford', 'OH')"
209,Cortland,"INSERT INTO City (Id, Name, State) VALUES (209, 'Cortland', 'OH')"
210,Kirtland,"INSERT INTO City (Id, Name, State) VALUES (210, 'Kirtland', 'OH')"
211,Martins Ferry,"INSERT INTO City (Id, Name, State) VALUES (211, 'Martins Ferry', 'OH')"
212,Rittman,"INSERT INTO City (Id, Name, State) VALUES (212, 'Rittman', 'OH')"
213,Hillsboro,"INSERT INTO City (Id, Name, State) VALUES (213, 'Hillsboro', 'OH')"
214,Upper Sandusky,"INSERT INTO City (Id, Name, State) VALUES (214, 'Upper Sandusky', 'OH')"
215,Belpre,"INSERT INTO City (Id, Name, State) VALUES (215, 'Belpre', 'OH')"
216,Beaver Township,"INSERT INTO City (Id, Name, State) VALUES (216, 'Beaver Township', 'OH')"
217,"Springfield Township, Mahoning County","INSERT INTO City (Id, Name, State) VALUES (217, 'Springfield Township, Mahoning County', 'OH')"
218,Jackson,"INSERT INTO City (Id, Name, State) VALUES (218, 'Jackson', 'OH')"
219,Pepper Pike,"INSERT INTO City (Id, Name, State) VALUES (219, 'Pepper Pike', 'OH')"
220,Columbiana,"INSERT INTO City (Id, Name, State) VALUES (220, 'Columbiana', 'OH')"
221,Clyde,"INSERT INTO City (Id, Name, State) VALUES (221, 'Clyde', 'OH')"
222,Grafton,"INSERT INTO City (Id, Name, State) VALUES (222, 'Grafton', 'OH')"
223,Ontario,"INSERT INTO City (Id, Name, State) VALUES (223, 'Ontario', 'OH')"
224,Willard,"INSERT INTO City (Id, Name, State) VALUES (224, 'Willard', 'OH')"
225,Mount Healthy,"INSERT INTO City (Id, Name, State) VALUES (225, 'Mount Healthy', 'OH')"
226,Port Clinton,"INSERT INTO City (Id, Name, State) VALUES (226, 'Port Clinton', 'OH')"
227,Brookville,"INSERT INTO City (Id, Name, State) VALUES (227, 'Brookville', 'OH')"
228,Indian Hill,"INSERT INTO City (Id, Name, State) VALUES (228, 'Indian Hill', 'OH')"
229,Granville,"INSERT INTO City (Id, Name, State) VALUES (229, 'Granville', 'OH')"
230,Deer Park,"INSERT INTO City (Id, Name, State) VALUES (230, 'Deer Park', 'OH')"
231,Bazetta Township,"INSERT INTO City (Id, Name, State) VALUES (231, 'Bazetta Township', 'OH')"
232,Groveport,"INSERT INTO City (Id, Name, State) VALUES (232, 'Groveport', 'OH')"
233,Ada,"INSERT INTO City (Id, Name, State) VALUES (233, 'Ada', 'OH')"
234,Wellston,"INSERT INTO City (Id, Name, State) VALUES (234, 'Wellston', 'OH')"
235,Waterville,"INSERT INTO City (Id, Name, State) VALUES (235, 'Waterville', 'OH')"
236,Germantown,"INSERT INTO City (Id, Name, State) VALUES (236, 'Germantown', 'OH')"
237,Canal Fulton,"INSERT INTO City (Id, Name, State) VALUES (237, 'Canal Fulton', 'OH')"
238,Carlisle,"INSERT INTO City (Id, Name, State) VALUES (238, 'Carlisle', 'OH')"
239,Hubbard Township,"INSERT INTO City (Id, Name, State) VALUES (239, 'Hubbard Township', 'OH')"
240,Uhrichsville,"INSERT INTO City (Id, Name, State) VALUES (240, 'Uhrichsville', 'OH')"
241,Nelsonville,"INSERT INTO City (Id, Name, State) VALUES (241, 'Nelsonville', 'OH')"
242,Warren Township,"INSERT INTO City (Id, Name, State) VALUES (242, 'Warren Township', 'OH')"
243,Russell Township,"INSERT INTO City (Id, Name, State) VALUES (243, 'Russell Township', 'OH')"
244,Chardon,"INSERT INTO City (Id, Name, State) VALUES (244, 'Chardon', 'OH')"
245,St. Clairsville,"INSERT INTO City (Id, Name, State) VALUES (245, 'St. Clairsville', 'OH')"
246,Munroe Falls,"INSERT INTO City (Id, Name, State) VALUES (246, 'Munroe Falls', 'OH')"
247,Johnstown,"INSERT INTO City (Id, Name, State) VALUES (247, 'Johnstown', 'OH')"
248,Amelia,"INSERT INTO City (Id, Name, State) VALUES (248, 'Amelia', 'OH')"
249,Toronto,"INSERT INTO City (Id, Name, State) VALUES (249, 'Toronto', 'OH')"
250,New Lexington,"INSERT INTO City (Id, Name, State) VALUES (250, 'New Lexington', 'OH')"
251,Lexington,"INSERT INTO City (Id, Name, State) VALUES (251, 'Lexington', 'OH')"
252,Greenfield,"INSERT INTO City (Id, Name, State) VALUES (252, 'Greenfield', 'OH')"
253,Newton Falls,"INSERT INTO City (Id, Name, State) VALUES (253, 'Newton Falls', 'OH')"
254,Coldwater,"INSERT INTO City (Id, Name, State) VALUES (254, 'Coldwater', 'OH')"
255,East Palestine,"INSERT INTO City (Id, Name, State) VALUES (255, 'East Palestine', 'OH')"
256,Ottawa Hills,"INSERT INTO City (Id, Name, State) VALUES (256, 'Ottawa Hills', 'OH')"
257,Crestline,"INSERT INTO City (Id, Name, State) VALUES (257, 'Crestline', 'OH')"
258,Ottawa,"INSERT INTO City (Id, Name, State) VALUES (258, 'Ottawa', 'OH')"
259,"Perry Township, Columbiana County","INSERT INTO City (Id, Name, State) VALUES (259, 'Perry Township, Columbiana County', 'OH')"
260,Waverly,"INSERT INTO City (Id, Name, State) VALUES (260, 'Waverly', 'OH')"
261,Georgetown,"INSERT INTO City (Id, Name, State) VALUES (261, 'Georgetown', 'OH')"
262,West Jefferson,"INSERT INTO City (Id, Name, State) VALUES (262, 'West Jefferson', 'OH')"
263,Archbold,"INSERT INTO City (Id, Name, State) VALUES (263, 'Archbold', 'OH')"
264,Blanchester,"INSERT INTO City (Id, Name, State) VALUES (264, 'Blanchester', 'OH')"
265,Reminderville,"INSERT INTO City (Id, Name, State) VALUES (265, 'Reminderville', 'OH')"
266,Sebring,"INSERT INTO City (Id, Name, State) VALUES (266, 'Sebring', 'OH')"
267,Ashville,"INSERT INTO City (Id, Name, State) VALUES (267, 'Ashville', 'OH')"
268,"Clay Township, Montgomery County","INSERT INTO City (Id, Name, State) VALUES (268, 'Clay Township, Montgomery County', 'OH')"
269,Bluffton,"INSERT INTO City (Id, Name, State) VALUES (269, 'Bluffton', 'OH')"
270,Bellaire,"INSERT INTO City (Id, Name, State) VALUES (270, 'Bellaire', 'OH')"
271,Barnesville,"INSERT INTO City (Id, Name, State) VALUES (271, 'Barnesville', 'OH')"
272,Chagrin Falls,"INSERT INTO City (Id, Name, State) VALUES (272, 'Chagrin Falls', 'OH')"
273,Montpelier,"INSERT INTO City (Id, Name, State) VALUES (273, 'Montpelier', 'OH')"
274,New Lebanon,"INSERT INTO City (Id, Name, State) VALUES (274, 'New Lebanon', 'OH')"
275,South Point,"INSERT INTO City (Id, Name, State) VALUES (275, 'South Point', 'OH')"
276,Swanton,"INSERT INTO City (Id, Name, State) VALUES (276, 'Swanton', 'OH')"
277,Mogadore,"INSERT INTO City (Id, Name, State) VALUES (277, 'Mogadore', 'OH')"
278,South Russell,"INSERT INTO City (Id, Name, State) VALUES (278, 'South Russell', 'OH')"
279,Newcomerstown,"INSERT INTO City (Id, Name, State) VALUES (279, 'Newcomerstown', 'OH')"
280,"Perry Township, Franklin County","INSERT INTO City (Id, Name, State) VALUES (280, 'Perry Township, Franklin County', 'OH')"
281,Wintersville,"INSERT INTO City (Id, Name, State) VALUES (281, 'Wintersville', 'OH')"
282,Yellow Springs,"INSERT INTO City (Id, Name, State) VALUES (282, 'Yellow Springs', 'OH')"
283,Northfield,"INSERT INTO City (Id, Name, State) VALUES (283, 'Northfield', 'OH')"
284,Minerva,"INSERT INTO City (Id, Name, State) VALUES (284, 'Minerva', 'OH')"
285,Amberley Village,"INSERT INTO City (Id, Name, State) VALUES (285, 'Amberley Village', 'OH')"
286,Greenhills,"INSERT INTO City (Id, Name, State) VALUES (286, 'Greenhills', 'OH')"
287,Carey,"INSERT INTO City (Id, Name, State) VALUES (287, 'Carey', 'OH')"
